2026-09-13 12:58:11,456 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x01_volatile_20230404_diversified
2026-09-13 13:02:30,947 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x01_volatile_20230404_diversified qaoa seeds=10/10 wall=196.8s unique=1520 mass_opt={'qubo_optimum': 0.14306640625, 'true_grid_optimum': 0.14306640625}
2026-09-13 13:02:35,237 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x02_stress_20230103_banking_concentrated
2026-09-13 13:06:37,600 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x02_stress_20230103_banking_concentrated qaoa seeds=10/10 wall=180.6s unique=1811 mass_opt={'qubo_optimum': 0.11005859375, 'true_grid_optimum': 0.0013671875}
2026-09-13 13:06:41,451 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x03_normal_20230731_high_volatility
2026-09-13 13:10:54,236 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x03_normal_20230731_high_volatility qaoa seeds=10/10 wall=190.7s unique=1088 mass_opt={'qubo_optimum': 0.12607421875, 'true_grid_optimum': 0.12607421875}
2026-09-13 13:10:58,407 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x04_volatile_20231226_high_cash
2026-09-13 13:20:22,074 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x04_volatile_20231226_high_cash qaoa seeds=10/10 wall=188.2s unique=1401 mass_opt={'qubo_optimum': 0.12431640625, 'true_grid_optimum': 0.12431640625}
2026-09-13 13:20:26,385 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x05_stress_20231124_do_not_sell
2026-09-13 13:24:32,987 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x05_stress_20231124_do_not_sell qaoa seeds=10/10 wall=187.3s unique=2222 mass_opt={'qubo_optimum': 0.046484375, 'true_grid_optimum': 0.046484375}
2026-09-13 13:24:39,278 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x01_volatile_20230404_diversified
2026-09-13 13:38:31,474 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x01_volatile_20230404_diversified qaoa seeds=10/10 wall=199.3s unique=1520 mass_opt={'qubo_optimum': 0.14306640625, 'true_grid_optimum': 0.14306640625}
2026-09-13 13:39:31,324 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x01_volatile_20230404_diversified qaoa_transfer seeds=10/10 wall=59.6s unique=275 mass_opt={'qubo_optimum': 0.2708984375, 'true_grid_optimum': 0.2708984375}
2026-09-13 13:39:38,297 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x02_stress_20230103_banking_concentrated
2026-09-13 13:43:44,383 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x02_stress_20230103_banking_concentrated qaoa seeds=10/10 wall=181.9s unique=1811 mass_opt={'qubo_optimum': 0.11005859375, 'true_grid_optimum': 0.0013671875}
2026-09-13 13:44:44,583 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x02_stress_20230103_banking_concentrated qaoa_transfer seeds=10/10 wall=60.0s unique=310 mass_opt={'qubo_optimum': 0.26650390625, 'true_grid_optimum': 0.0001953125}
2026-09-13 13:44:50,540 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x03_normal_20230731_high_volatility
2026-09-13 13:49:08,787 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x03_normal_20230731_high_volatility qaoa seeds=10/10 wall=192.3s unique=1088 mass_opt={'qubo_optimum': 0.12607421875, 'true_grid_optimum': 0.12607421875}
2026-09-13 13:50:08,209 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x03_normal_20230731_high_volatility qaoa_transfer seeds=10/10 wall=59.1s unique=544 mass_opt={'qubo_optimum': 0.21123046875, 'true_grid_optimum': 0.21123046875}
2026-09-13 13:50:14,925 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x04_volatile_20231226_high_cash
2026-09-13 13:54:21,651 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x04_volatile_20231226_high_cash qaoa seeds=10/10 wall=184.1s unique=1401 mass_opt={'qubo_optimum': 0.12431640625, 'true_grid_optimum': 0.12431640625}
2026-09-13 13:55:20,322 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x04_volatile_20231226_high_cash qaoa_transfer seeds=10/10 wall=58.4s unique=246 mass_opt={'qubo_optimum': 0.27822265625, 'true_grid_optimum': 0.27822265625}
2026-09-13 13:55:26,930 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building x05_stress_20231124_do_not_sell
2026-09-13 13:59:37,855 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x05_stress_20231124_do_not_sell qaoa seeds=10/10 wall=187.6s unique=2222 mass_opt={'qubo_optimum': 0.046484375, 'true_grid_optimum': 0.046484375}
2026-09-13 14:00:38,424 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] x05_stress_20231124_do_not_sell qaoa_transfer seeds=10/10 wall=60.3s unique=973 mass_opt={'qubo_optimum': 0.12099609375, 'true_grid_optimum': 0.12099609375}
2026-09-13 14:00:48,337 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c01_normal_20240222_banking_concentrated
2026-09-13 14:04:42,804 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c01_normal_20240222_banking_concentrated qaoa seeds=10/10 wall=171.0s unique=2271 mass_opt={'qubo_optimum': 0.11328125, 'true_grid_optimum': 0.0015625}
2026-09-13 14:05:41,593 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c01_normal_20240222_banking_concentrated qaoa_transfer seeds=10/10 wall=58.6s unique=272 mass_opt={'qubo_optimum': 0.26962890625, 'true_grid_optimum': 0.00029296875}
2026-09-13 14:05:47,739 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c02_volatile_20240102_high_volatility
2026-09-13 14:10:16,667 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c02_volatile_20240102_high_volatility qaoa seeds=10/10 wall=200.1s unique=1841 mass_opt={'qubo_optimum': 0.10732421875, 'true_grid_optimum': 0.10732421875}
2026-09-13 14:11:17,423 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c02_volatile_20240102_high_volatility qaoa_transfer seeds=10/10 wall=60.5s unique=601 mass_opt={'qubo_optimum': 0.221875, 'true_grid_optimum': 0.221875}
2026-09-13 14:11:24,375 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c03_stress_20250408_high_cash
2026-09-13 14:15:52,159 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c03_stress_20250408_high_cash qaoa seeds=10/10 wall=199.5s unique=1096 mass_opt={'qubo_optimum': 0.15322265625, 'true_grid_optimum': 0.15322265625}
2026-09-13 14:16:52,573 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c03_stress_20250408_high_cash qaoa_transfer seeds=10/10 wall=60.1s unique=288 mass_opt={'qubo_optimum': 0.26416015625, 'true_grid_optimum': 0.26416015625}
2026-09-13 14:16:59,475 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c04_normal_20240321_do_not_sell
2026-09-13 14:21:03,500 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c04_normal_20240321_do_not_sell qaoa seeds=10/10 wall=183.6s unique=2218 mass_opt={'qubo_optimum': 0.11416015625, 'true_grid_optimum': 0.11416015625}
2026-09-13 14:22:03,839 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c04_normal_20240321_do_not_sell qaoa_transfer seeds=10/10 wall=60.1s unique=493 mass_opt={'qubo_optimum': 0.2087890625, 'true_grid_optimum': 0.2087890625}
2026-09-13 14:22:10,648 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c05_volatile_20240415_liquidity_constrained
2026-09-13 14:30:30,972 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c05_volatile_20240415_liquidity_constrained qaoa seeds=10/10 wall=193.5s unique=1608 mass_opt={'qubo_optimum': 0.15732421875, 'true_grid_optimum': 0.15732421875}
2026-09-13 14:31:30,689 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c05_volatile_20240415_liquidity_constrained qaoa_transfer seeds=10/10 wall=59.4s unique=441 mass_opt={'qubo_optimum': 0.23974609375, 'true_grid_optimum': 0.23974609375}
2026-09-13 14:31:37,416 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c06_stress_20250509_diversified
2026-09-13 14:35:58,400 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c06_stress_20250509_diversified qaoa seeds=10/10 wall=195.7s unique=1108 mass_opt={'qubo_optimum': 0.12880859375, 'true_grid_optimum': 0.12880859375}
2026-09-13 14:36:57,472 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c06_stress_20250509_diversified qaoa_transfer seeds=10/10 wall=58.8s unique=261 mass_opt={'qubo_optimum': 0.26845703125, 'true_grid_optimum': 0.26845703125}
2026-09-13 14:37:04,126 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c07_normal_20250311_banking_concentrated
2026-09-13 14:41:34,192 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c07_normal_20250311_banking_concentrated qaoa seeds=10/10 wall=204.0s unique=1389 mass_opt={'qubo_optimum': 0.1544921875, 'true_grid_optimum': 0.00146484375}
2026-09-13 14:42:32,802 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] c07_normal_20250311_banking_concentrated qaoa_transfer seeds=10/10 wall=58.4s unique=235 mass_opt={'qubo_optimum': 0.27373046875, 'true_grid_optimum': 9.765625e-05}
2026-09-13 14:42:38,676 | qshield.hybrid_qaoa_assisted_v3.hybrid | INFO | [hybrid] building c08_volatile_20240614_high_volatility
