action_i,action_j,C_ij
0,1,0.0
0,2,-2.7755575615628914e-17
0,3,-1.3877787807814457e-17
0,4,1.6342668639701685e-05
0,5,4.021681431508328e-05
0,6,0.0
0,7,-1.3877787807814457e-17
1,2,0.0
1,3,1.3877787807814457e-17
1,4,1.457286485798126e-05
1,5,-2.7847271990288913e-06
1,6,1.3877787807814457e-17
1,7,-1.3877787807814457e-17
2,3,-1.3877787807814457e-17
2,4,-5.8389400318534235e-05
2,5,-2.7847271990288913e-06
2,6,0.0
2,7,-1.3877787807814457e-17
3,4,-8.605465522248945e-05
3,5,-2.7847271990288913e-06
3,6,2.7755575615628914e-17
3,7,1.3877787807814457e-17
4,5,-6.889394258557946e-05
4,6,-4.131612978533483e-06
4,7,-5.783184231271388e-05
5,6,3.021831116863105e-05
5,7,5.030033602934636e-05
6,7,1.3877787807814457e-17
