rank,ticker,current_weight,eligible_status,baseline_CVaR_contribution,marginal_CVaR_reduction_10pct,marginal_CVaR_reduction_20pct,marginal_CVaR_reduction_30pct,transaction_cost_estimate,liquidity_penalty,net_risk_score,reason,selected_top10,underfilled_reason,note,run_id,profile_id,profile_status,config_version,config_hash
1,MWG,0.0333333333,True,0.005775407937357533,0.000568353825358317,0.0011337921743891921,0.0016988651244248948,2.4999999974999997e-05,4.999999995e-06,0.009146419061559937,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
2,GVR,0.0333333333,True,0.005555956171040305,0.000546855094494203,0.0010915784909057424,0.0016363018873172402,2.4999999974999997e-05,4.999999995e-06,0.00880069164378749,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
3,BSR,0.0333333333,True,0.005301835173944712,0.0005211912019303794,0.001035861488898629,0.0015415948527968126,2.4999999974999997e-05,4.999999995e-06,0.008370482717600533,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
4,PLX,0.0333333333,True,0.0052659198195308884,0.0005182586486281032,0.0010341651561539128,0.0015469253742510514,2.4999999974999997e-05,4.999999995e-06,0.008335268998593956,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
5,GAS,0.0333333333,True,0.005143534661585405,0.0005060201328335456,0.0010120402656671051,0.0015172396682161943,2.4999999974999997e-05,4.999999995e-06,0.008148834728332251,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
6,VRE,0.0333333333,True,0.0036386153432389845,0.00035369798056349155,0.0007049185280166431,0.0010540275468388371,2.4999999974999997e-05,4.999999995e-06,0.005721259398687956,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
7,SSI,0.0333333333,True,0.003473748732105891,0.0003390415398855928,0.0006776783020136373,0.0010140948620083884,2.4999999974999997e-05,4.999999995e-06,0.0054745634360435095,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
8,HDB,0.0333333333,True,0.0034645864217021424,0.0003378423825890625,0.0006753393717745665,0.0010121039821600897,2.4999999974999997e-05,4.999999995e-06,0.005459872158255861,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
9,CTG,0.0333333333,True,0.0031586299044764096,0.00030743006316162613,0.0006145147329196798,0.0009215994026777474,2.4999999974999997e-05,4.999999995e-06,0.004972174103265463,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
10,BID,0.0333333333,True,0.003124241577736749,0.00030409082444868285,0.0006081816488973796,0.0009122724733460624,2.4999999974999997e-05,4.999999995e-06,0.0049187865244588735,eligible,True,,,run_20260807_155002,workflow_update_downstream,NON_BASELINE_RUN,workflow-update-decision-package-v3,479517a8addf259b7e2e9ad46d29a17d1ee9d87e75b2f1e23479eaa23cdc6b8a
