ticker,symbol,source,preferred,fallback_used,file,rows,start,end,sha256,status
ACB,dnse:ACB,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_acb.csv,2637,2016-01-04,2026-07-30,786c40d1da996a602309feb00996d2bbaa4ab1fd41b75693ecde2befd284b410,OK
BID,BID.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_bid.csv,2728,2016-01-04,2026-07-30,932b2017c516fd9ef3a8f2fa387a1b3f66344f3d933f5ee8f6f49471b17a010d,OK
BSR,dnse:BSR,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_bsr.csv,2095,2018-03-02,2026-07-30,509362f067eac96a3dd2b13b41359f00459514386ff8e6f6daeb2a73ec75a57d,OK
CTG,CTG.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_ctg.csv,2737,2016-01-04,2026-07-30,8f397a57399fc8dc2dbb0ba31628a0653bf1ccf80961366875bd603164c0a8e4,OK
FPT,FPT.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_fpt.csv,2737,2016-01-04,2026-07-30,2d585952d39161c79fc802e5b9ef312937c0707a609e36fd32d0b5f6af803a67,OK
GAS,GAS.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_gas.csv,2737,2016-01-04,2026-07-30,706309a6be96a7615d6aa0be68433c450d4575e57b8e8bdd054e184a392a262a,OK
GVR,dnse:GVR,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_gvr.csv,2083,2018-03-22,2026-07-30,9ce349713ed681611bb27f80151724c33d456390911523219cbffff75f73b39d,OK
HDB,HDB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_hdb.csv,2231,2018-01-05,2026-07-30,ef1bc0a48bc3b5483cce8348b8ad0a0e7194470d5b4a784206f0959d9aa80780,OK
HPG,HPG.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_hpg.csv,2737,2016-01-04,2026-07-30,251eb7763f9dd2b21167da221d22ada8ee2c3b611030f8745960f03e57c771ed,OK
LPB,dnse:LPB,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_lpb.csv,2192,2017-10-06,2026-07-30,f426f5f73c2592c3fd05d21d06c1d34fe3d6aa4bbd2648a5ef5a04a2ef0ae6e1,OK
MBB,MBB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_mbb.csv,2737,2016-01-04,2026-07-30,e146eed790bbc586498d8101372a715e0d2e655ba9167ac5646713dd324b096d,OK
MSN,MSN.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_msn.csv,2728,2016-01-04,2026-07-30,fb431048e93df3b1755504fcb4c1029f680b30e1c76ee0db9bbb0215ec01650f,OK
MWG,MWG.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_mwg.csv,2728,2016-01-04,2026-07-30,ceb9ea85cf60f9b90d19fe1d65c16e1c13c413b74c24d1fd7b7170c64c87e174,OK
PLX,PLX.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_plx.csv,2405,2017-04-21,2026-07-30,e5845f3c2e4609844cf7eb8c92ba6fc677fd3b6f0f15c9aac76ad857f5178129,OK
SAB,SAB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_sab.csv,2496,2016-12-06,2026-07-30,c6fca91f556fbb38f1586293a97f2f9a7e22939ee3a604e952d41af52be428c1,OK
SHB,dnse:SHB,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_shb.csv,2639,2016-01-04,2026-07-30,9ef1b210b001394ac34eecd3a03287625e767f41f5f5e6fca6d37f932831b7cb,OK
SSB,SSB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_ssb.csv,1397,2021-03-24,2026-07-30,ab9c7f1f01c79f201d3a2def467c4eda96581a256b86befbb00db4b811875be2,OK
SSI,SSI.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_ssi.csv,2728,2016-01-04,2026-07-30,b15be5e3b114b06275828c47fa869fbe8074502914dc13b2e8defbdd140092ed,OK
STB,STB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_stb.csv,2728,2016-01-04,2026-07-30,6bfbce5b4263a2212121ec8525aa482c484367fe159eba7c19061d548efff56a,OK
TCB,TCB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_tcb.csv,2116,2018-06-04,2026-07-30,45b76429da27568c960ff61b05ef54fe493212f82d1268bb06b58bb182085875,OK
TPB,TPB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_tpb.csv,2157,2018-04-19,2026-07-30,d92921b6745ed528f1654a8fa889dc916fecd9a36a4b69700768b2ea9e688bd3,OK
VCB,VCB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vcb.csv,2728,2016-01-04,2026-07-30,8dd99aeb03c95da8adffcc2b5e9eeee34a5aebf005af8b42bd294f5cf770c5e4,OK
VHM,VHM.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vhm.csv,2137,2018-05-17,2026-07-30,7489e3d10dab78ebcc51e9fbaeb3176aa1b893a9d1e681442ca456c6a90a9e2e,OK
VIB,dnse:VIB,DNSE_PRICES,dnse,False,data/raw/prices/20260814_dnse_vib.csv,2379,2017-01-10,2026-07-30,1cb9cf95bda348b97baf787c7fed83eb912a9dfe75a3f18af6b56b3db829afb3,OK
VIC,VIC.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vic.csv,2737,2016-01-04,2026-07-30,3ad23c5f8b7b4982f42c969af894884ad7f7f6daa78899258d13ad170d75ae83,OK
VJC,VJC.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vjc.csv,2451,2017-02-28,2026-07-30,e8718589e48328caa3a87fd5a2ac237c517bcf415f7feffabf4242cef000c739,OK
VNM,VNM.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vnm.csv,2728,2016-01-04,2026-07-30,6aef83c0d839d07c8a2b006e46cffe623b8819b31d9c7b7d28d78ad3546c4912,OK
VPB,VPB.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vpb.csv,2323,2017-08-17,2026-07-30,873e6f3e32430301762cec52f6eb2d30683a51d361c65065c7f63d3213a59aa5,OK
VPL,VPL.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vpl.csv,98,2026-03-17,2026-07-30,4a42c92c97e458b3bd7d13b4aafd34159ab905da7b36766dca13aceb6cf7c7d1,OK
VRE,VRE.VN,YF_PRICES,yahoo,False,data/raw/prices/20260814_yfinance_vre.csv,2266,2017-11-06,2026-07-30,f896379c6cfca0bee7d27202ad7b6309b35bb3e2b4d37a4a348a47b596aa66a8,OK
