date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1830.0,1870.0,1780.0,1790.0,1790.0,1570069
2016-01-05,1790.0,1790.0,1750.0,1780.0,1780.0,1144659
2016-01-06,1780.0,1780.0,1750.0,1780.0,1780.0,1013264
2016-01-07,1780.0,1780.0,1720.0,1750.0,1750.0,1897964
2016-01-08,1720.0,1750.0,1710.0,1720.0,1720.0,2841942
2016-01-11,1720.0,1750.0,1710.0,1720.0,1720.0,1161091
2016-01-12,1720.0,1750.0,1720.0,1750.0,1750.0,1492025
2016-01-13,1750.0,1780.0,1720.0,1750.0,1750.0,364400
2016-01-14,1720.0,1750.0,1670.0,1710.0,1710.0,1595530
2016-01-15,1710.0,1720.0,1670.0,1670.0,1670.0,1373490
2016-01-18,1640.0,1670.0,1520.0,1620.0,1620.0,3653980
2016-01-19,1590.0,1670.0,1590.0,1640.0,1640.0,1071025
2016-01-20,1640.0,1670.0,1620.0,1640.0,1640.0,1004103
2016-01-21,1640.0,1640.0,1590.0,1620.0,1620.0,1528094
2016-01-22,1590.0,1710.0,1590.0,1670.0,1670.0,4710693
2016-01-25,1710.0,1780.0,1670.0,1780.0,1780.0,1606873
2016-01-26,1750.0,1790.0,1710.0,1790.0,1790.0,3974894
2016-01-27,1790.0,1830.0,1780.0,1830.0,1830.0,1074856
2016-01-28,1830.0,1830.0,1780.0,1830.0,1830.0,1972136
2016-01-29,1830.0,1830.0,1780.0,1830.0,1830.0,3598684
2016-02-01,1830.0,1830.0,1780.0,1790.0,1790.0,1795311
2016-02-02,1790.0,1830.0,1780.0,1830.0,1830.0,773667
2016-02-03,1830.0,1830.0,1790.0,1790.0,1790.0,829087
2016-02-04,1790.0,1870.0,1790.0,1870.0,1870.0,895958
2016-02-05,1870.0,1890.0,1830.0,1890.0,1890.0,1184725
2016-02-15,1780.0,1950.0,1780.0,1930.0,1930.0,2033319
2016-02-16,1930.0,2029.9999999999998,1890.0,1970.0,1970.0,3961336
2016-02-17,1970.0,2009.9999999999998,1950.0,1950.0,1950.0,3146044
2016-02-18,1950.0,1970.0,1950.0,1970.0,1970.0,611603
2016-02-19,1970.0,1970.0,1890.0,1890.0,1890.0,1239311
