date,Adj Close,Close,High,Low,Open,Volume
2016-01-04,17813.31640625,28713.75,29348.30859375,28713.75,28951.7109375,230182
2016-01-05,17764.109375,28634.431640625,28951.7109375,28555.111328125,28713.75,294869
2016-01-06,17862.529296875,28793.0703125,28872.390625,28634.431640625,28634.431640625,132854
2016-01-07,16976.78125,27365.314453125,28555.111328125,27365.314453125,28555.111328125,957126
2016-01-08,17222.822265625,27761.9140625,27841.234375,27285.99609375,27444.634765625,418937
2016-01-11,17222.822265625,27761.9140625,27999.873046875,27603.2734375,27761.9140625,408687
2016-01-12,17075.203125,27523.955078125,27603.2734375,27048.03515625,27048.03515625,425152
2016-01-13,17222.822265625,27761.9140625,28317.15234375,27523.955078125,27523.955078125,596408
2016-01-14,16927.57421875,27285.99609375,27761.9140625,27206.67578125,27761.9140625,548917
2016-01-15,16878.36328125,27206.67578125,27682.59375,27206.67578125,27444.634765625,270096
2016-01-18,15697.373046875,25303.001953125,26889.396484375,25303.001953125,26096.19921875,1561023
2016-01-19,15697.373046875,25303.001953125,25778.919921875,25223.681640625,25382.3203125,648161
2016-01-20,15106.8740234375,24351.1640625,25303.001953125,24351.1640625,25303.001953125,1101528
2016-01-21,14762.4169921875,23795.92578125,24351.1640625,23637.287109375,23875.24609375,1272734
2016-01-22,15746.576171875,25382.3203125,25461.640625,23954.56640625,24113.205078125,1499323
2016-01-25,16829.158203125,27127.35546875,27127.35546875,26810.076171875,26810.076171875,950002
2016-01-26,17468.861328125,28158.51171875,28951.7109375,26175.51953125,26254.837890625,1336010
2016-01-27,17960.939453125,28951.7109375,29506.94921875,28713.75,28951.7109375,1219746
2016-01-28,18059.361328125,29110.349609375,29824.2265625,28793.0703125,29348.30859375,1272104
2016-01-29,19289.560546875,31093.34375,31093.34375,29427.62890625,29744.908203125,1624450
2016-02-01,18453.025390625,29744.908203125,31331.302734375,29744.908203125,31251.982421875,1419419
2016-02-02,17714.90234375,28555.111328125,29189.669921875,28158.51171875,28951.7109375,966606
2016-02-03,18797.482421875,30300.146484375,30300.146484375,27444.634765625,27682.59375,1096259
2016-02-04,18699.0625,30141.505859375,31014.0234375,29903.546875,31014.0234375,451022
2016-02-05,18699.0625,30141.505859375,30141.505859375,29744.908203125,30141.505859375,244554
2016-02-15,18797.482421875,30300.146484375,30538.10546875,29744.908203125,29824.2265625,1007453
2016-02-16,19683.22265625,31727.90234375,31727.90234375,30379.46484375,30696.744140625,1720857
2016-02-17,19387.978515625,31251.982421875,31648.58203125,30934.703125,31569.26171875,965194
2016-02-18,20519.759765625,33076.3359375,33314.296875,32045.1796875,32124.5,1799476
2016-02-19,20913.423828125,33710.89453125,34107.4921875,32362.458984375,32362.458984375,1537674
2016-02-22,21110.263671875,34028.17578125,34345.453125,33552.25390625,33552.25390625,871636
2016-02-23,21307.091796875,34345.453125,35693.890625,34266.1328125,34266.1328125,1866344
2016-02-24,21061.052734375,33948.85546875,34424.7734375,33314.296875,34186.8125,1903069
2016-02-25,20568.97265625,33155.65625,34742.05078125,33155.65625,34742.05078125,864942
2016-02-26,20913.423828125,33710.89453125,34028.17578125,33314.296875,33710.89453125,993182
2016-02-29,21011.83984375,33869.53515625,34345.453125,33790.21484375,33948.85546875,772632
2016-03-01,21454.71875,34583.4140625,35059.33203125,33869.53515625,34107.4921875,1146397
2016-03-02,21700.759765625,34980.01171875,35297.2890625,34742.05078125,34900.69140625,982226
2016-03-03,22242.046875,35852.52734375,36011.16796875,35455.9296875,35455.9296875,977247
2016-03-04,22783.33984375,36725.046875,36804.3671875,35535.25,35693.890625,1368322
2016-03-07,24308.779296875,39183.95703125,39263.27734375,37835.5234375,37994.16015625,2478071
2016-03-08,23718.28515625,38232.12109375,40849.671875,38073.48046875,39659.875,2187172
2016-03-09,23324.623046875,37597.5625,38311.44140625,37359.60546875,37359.60546875,1233324
2016-03-10,23767.494140625,38311.44140625,38866.6796875,37914.84375,38549.3984375,1130462
2016-03-11,23669.078125,38152.80078125,38390.76171875,37835.5234375,38311.44140625,1167918
2016-03-14,23718.28515625,38232.12109375,38628.71875,38152.80078125,38470.08203125,674737
2016-03-15,22881.748046875,36883.68359375,37835.5234375,36725.046875,37676.8828125,1807683
2016-03-16,23078.580078125,37200.96484375,37438.921875,36804.3671875,36963.00390625,768219
2016-03-17,24106.583984375,37200.96484375,37835.5234375,37200.96484375,37756.203125,1552677
2016-03-18,23746.779296875,36645.7265625,37756.203125,36645.7265625,37756.203125,932264
2016-03-21,23129.984375,35693.890625,36645.7265625,35693.890625,36487.0859375,845489
2016-03-22,23386.982421875,36090.48828125,36883.68359375,35376.609375,36249.12890625,1275646
2016-03-23,23849.578125,36804.3671875,36883.68359375,36011.16796875,36090.48828125,771850
2016-03-24,23181.37890625,35773.20703125,36487.0859375,35773.20703125,36328.4453125,1078646
2016-03-25,23232.779296875,35852.52734375,36011.16796875,35455.9296875,35614.5703125,945628
2016-03-28,23232.779296875,35852.52734375,36090.48828125,35693.890625,35931.84765625,345361
2016-03-29,22358.98046875,34504.09375,35614.5703125,34504.09375,35614.5703125,1039804
2016-03-30,22101.98046875,34107.4921875,34742.05078125,33948.85546875,34345.453125,765937
2016-03-31,21073.982421875,32521.099609375,33948.85546875,32521.099609375,33948.85546875,1027095
2016-04-01,21330.982421875,32917.69921875,33076.3359375,32441.779296875,32521.099609375,593572
2016-04-04,20765.578125,32045.1796875,32917.69921875,31886.541015625,31886.541015625,878810
2016-04-05,21073.982421875,32521.099609375,32521.099609375,31410.623046875,31727.90234375,1025683
2016-04-06,22101.98046875,34107.4921875,34107.4921875,33155.65625,33393.6171875,1064678
2016-04-07,22667.380859375,34980.01171875,35297.2890625,34583.4140625,34980.01171875,1287762
2016-04-08,22667.380859375,34980.01171875,36090.48828125,34662.73046875,36090.48828125,873741
2016-04-11,23129.984375,35693.890625,36249.12890625,35614.5703125,35852.52734375,1221171
2016-04-12,23386.982421875,36090.48828125,36169.80859375,35693.890625,35693.890625,1152941
2016-04-13,23746.779296875,36645.7265625,37280.28515625,36249.12890625,36725.046875,1605955
2016-04-14,23592.578125,36407.765625,36725.046875,36090.48828125,36090.48828125,901339
