date,Adj Close,Close,High,Low,Open,Volume
2016-01-04,7747.45263671875,9875.0029296875,10062.5029296875,9750.001953125,9812.5029296875,3168159
2016-01-05,7747.45263671875,9875.0029296875,9875.0029296875,9687.501953125,9875.0029296875,785679
2016-01-06,7698.41748046875,9812.5029296875,9875.0029296875,9750.001953125,9812.5029296875,612879
2016-01-07,7453.24560546875,9500.001953125,9750.001953125,9375.001953125,9750.001953125,1781999
2016-01-08,7355.1767578125,9375.001953125,9500.001953125,9125.001953125,9437.501953125,778799
2016-01-11,7257.10595703125,9250.001953125,9375.001953125,9125.001953125,9312.501953125,772879
2016-01-12,7355.1767578125,9375.001953125,9375.001953125,9125.001953125,9125.001953125,580159
2016-01-13,7306.140625,9312.501953125,9437.501953125,9312.501953125,9437.501953125,466399
2016-01-14,7208.072265625,9187.501953125,9250.001953125,9062.501953125,9187.501953125,1417999
2016-01-15,7110.00390625,9062.501953125,9187.501953125,9062.501953125,9187.501953125,826719
2016-01-18,6766.7607421875,8625.001953125,9000.001953125,8437.501953125,9000.001953125,1780399
2016-01-19,6962.8994140625,8875.001953125,8875.001953125,8562.501953125,8625.001953125,695839
2016-01-20,6864.83154296875,8750.001953125,8875.001953125,8687.501953125,8875.001953125,393519
2016-01-21,6766.7607421875,8625.001953125,8750.001953125,8562.501953125,8750.001953125,521839
2016-01-22,6668.6923828125,8500.001953125,8750.001953125,8375.001953125,8625.001953125,756319
2016-01-25,7060.96923828125,9000.001953125,9000.001953125,8687.501953125,8875.001953125,1399999
2016-01-26,6962.8994140625,8875.001953125,8937.501953125,8750.001953125,8875.001953125,473199
2016-01-27,7011.93505859375,8937.501953125,8937.501953125,8812.501953125,8875.001953125,440639
2016-01-28,6864.83154296875,8750.001953125,8937.501953125,8750.001953125,8937.501953125,260559
2016-01-29,7060.96923828125,9000.001953125,9000.001953125,8750.001953125,8750.001953125,1192079
2016-02-01,7060.96923828125,9000.001953125,9062.501953125,8875.001953125,8875.001953125,840719
2016-02-02,7060.96923828125,9000.001953125,9062.501953125,8937.501953125,8937.501953125,410479
2016-02-03,7060.96923828125,9000.001953125,9000.001953125,8875.001953125,8875.001953125,304239
2016-02-04,7060.96923828125,9000.001953125,9125.001953125,9000.001953125,9000.001953125,370559
2016-02-05,7208.072265625,9187.501953125,9187.501953125,9000.001953125,9000.001953125,328879
2016-02-15,7110.00390625,9062.501953125,9125.001953125,8937.501953125,9000.001953125,330719
2016-02-16,7110.00390625,9062.501953125,9062.501953125,8937.501953125,9062.501953125,636079
2016-02-17,7060.96923828125,9000.001953125,9125.001953125,9000.001953125,9062.501953125,730879
2016-02-18,7306.140625,9312.501953125,9375.001953125,9000.001953125,9000.001953125,1070319
2016-02-19,7257.10595703125,9250.001953125,9375.001953125,9250.001953125,9375.001953125,419679
2016-02-22,7453.24560546875,9500.001953125,9500.001953125,9312.501953125,9312.501953125,1061759
2016-02-23,7551.31494140625,9625.001953125,9750.001953125,9562.501953125,9625.001953125,2124159
2016-02-24,7600.34765625,9687.501953125,9750.001953125,9500.001953125,9625.001953125,494959
2016-02-25,7453.24560546875,9500.001953125,9750.001953125,9500.001953125,9687.501953125,1577039
2016-02-26,7404.21240234375,9437.501953125,9625.001953125,9437.501953125,9500.001953125,1103279
2016-02-29,7355.1767578125,9375.001953125,9562.501953125,9375.001953125,9562.501953125,1124159
2016-03-01,7404.21240234375,9437.501953125,9500.001953125,9375.001953125,9375.001953125,872879
2016-03-02,7747.45263671875,9875.0029296875,9875.0029296875,9437.501953125,9437.501953125,3145279
2016-03-03,7747.45263671875,9875.0029296875,9875.0029296875,9812.5029296875,9875.0029296875,693999
2016-03-04,7796.48681640625,9937.5029296875,10125.0029296875,9750.001953125,9812.5029296875,2714719
2016-03-07,7747.45263671875,9875.0029296875,10000.0029296875,9812.5029296875,9937.5029296875,1056879
2016-03-08,7698.41748046875,9812.5029296875,9937.5029296875,9750.001953125,9875.0029296875,859279
2016-03-09,7649.38330078125,9750.001953125,9875.0029296875,9750.001953125,9750.001953125,872959
2016-03-10,7747.45263671875,9875.0029296875,9875.0029296875,9750.001953125,9750.001953125,842479
2016-03-11,7796.48681640625,9937.5029296875,10000.0029296875,9812.5029296875,9875.0029296875,1683439
2016-03-14,7796.48681640625,9937.5029296875,10062.5029296875,9875.0029296875,10000.0029296875,721199
2016-03-15,7796.48681640625,9937.5029296875,9937.5029296875,9812.5029296875,9937.5029296875,910719
2016-03-16,7551.31494140625,9625.001953125,9875.0029296875,9625.001953125,9875.0029296875,2390959
2016-03-17,7551.31494140625,9625.001953125,9750.001953125,9500.001953125,9687.501953125,1567359
2016-03-18,7551.31494140625,9625.001953125,9687.501953125,9562.501953125,9625.001953125,634319
2016-03-21,7649.38330078125,9750.001953125,9875.0029296875,9687.501953125,9750.001953125,1416399
2016-03-22,7551.31494140625,9625.001953125,9812.5029296875,9625.001953125,9750.001953125,586879
2016-03-23,7649.38330078125,9750.001953125,9750.001953125,9625.001953125,9687.501953125,651679
2016-03-24,7698.41748046875,9812.5029296875,9875.0029296875,9687.501953125,9812.5029296875,1333519
2016-03-25,7698.41748046875,9812.5029296875,9875.0029296875,9750.001953125,9812.5029296875,750479
2016-03-28,7649.38330078125,9750.001953125,9875.0029296875,9750.001953125,9875.0029296875,683759
2016-03-29,7600.34765625,9687.501953125,9812.5029296875,9625.001953125,9687.501953125,809119
2016-03-30,7551.31494140625,9625.001953125,9687.501953125,9562.501953125,9562.501953125,246959
2016-03-31,7404.21240234375,9437.501953125,9687.501953125,9437.501953125,9625.001953125,479919
2016-04-01,7404.21240234375,9437.501953125,9500.001953125,9375.001953125,9500.001953125,610879
2016-04-04,7355.1767578125,9375.001953125,9500.001953125,9375.001953125,9437.501953125,279199
2016-04-05,7453.24560546875,9500.001953125,9500.001953125,9375.001953125,9375.001953125,281679
2016-04-06,7404.21240234375,9437.501953125,9562.501953125,9375.001953125,9500.001953125,268479
2016-04-07,7453.24560546875,9500.001953125,9562.501953125,9437.501953125,9500.001953125,358239
2016-04-08,7502.27978515625,9562.501953125,9625.001953125,9437.501953125,9500.001953125,815199
2016-04-11,7551.31494140625,9625.001953125,9687.501953125,9562.501953125,9562.501953125,775919
