date,Adj Close,Close,High,Low,Open,Volume
2016-01-04,19730.970703125,21234.859375,21628.09765625,20939.931640625,21529.7890625,1549697
2016-01-05,19411.255859375,20890.77734375,21333.169921875,20841.62109375,21087.396484375,2305493
2016-01-06,19639.625,21136.55078125,21234.859375,20890.77734375,20890.77734375,1423035
2016-01-07,19411.255859375,20890.77734375,21087.396484375,20645.00390625,21038.240234375,1903091
2016-01-08,19274.23828125,20743.3125,20939.931640625,20497.5390625,20792.466796875,1375939
2016-01-11,19137.21484375,20595.84765625,20841.62109375,20546.693359375,20743.3125,1510311
2016-01-12,19502.603515625,20989.0859375,20989.0859375,20645.00390625,20645.00390625,978623
2016-01-13,19319.91015625,20792.466796875,21087.396484375,20792.466796875,21038.240234375,913034
2016-01-14,19091.541015625,20546.693359375,20743.3125,20399.228515625,20546.693359375,1304817
2016-01-15,18543.45703125,19956.8359375,20645.00390625,19956.8359375,20546.693359375,1790568
2016-01-18,17629.990234375,18973.740234375,19661.908203125,18678.8125,19416.1328125,3283669
2016-01-19,18406.439453125,19809.37109375,19858.52734375,18973.740234375,18973.740234375,1569206
2016-01-20,18269.419921875,19661.908203125,20153.455078125,19416.1328125,19661.908203125,1492815
2016-01-21,17995.375,19366.978515625,19661.908203125,19219.515625,19416.1328125,1331406
2016-01-22,18086.724609375,19465.2890625,19711.0625,18973.740234375,19661.908203125,1581820
2016-01-25,19045.869140625,20497.5390625,20595.84765625,19661.908203125,19661.908203125,2782659
2016-01-26,18543.45703125,19956.8359375,20300.919921875,19809.37109375,19907.681640625,1335251
2016-01-27,18497.787109375,19907.681640625,20300.919921875,19907.681640625,20300.919921875,1184137
2016-01-28,18497.787109375,19907.681640625,20055.146484375,19809.37109375,19809.37109375,1143673
2016-01-29,18908.84765625,20350.07421875,20350.07421875,19809.37109375,19907.681640625,2073552
2016-02-01,18589.1328125,20005.990234375,20399.228515625,20005.990234375,20350.07421875,454320
2016-02-02,18452.11328125,19858.52734375,20055.146484375,19809.37109375,19858.52734375,1228385
2016-02-03,18086.724609375,19465.2890625,19661.908203125,19317.82421875,19661.908203125,1631947
2016-02-04,18269.419921875,19661.908203125,19956.8359375,19661.908203125,19661.908203125,583361
2016-02-05,18315.091796875,19711.0625,19858.52734375,19465.2890625,19465.2890625,545826
2016-02-15,18406.439453125,19809.37109375,19956.8359375,19366.978515625,19563.59765625,1629119
2016-02-16,18406.439453125,19809.37109375,20055.146484375,19711.0625,19711.0625,793514
2016-02-17,18178.0703125,19563.59765625,19956.8359375,19563.59765625,19809.37109375,1683519
2016-02-18,18406.439453125,19809.37109375,20104.30078125,19612.751953125,19661.908203125,1496863
2016-02-19,18315.091796875,19711.0625,19956.8359375,19711.0625,19956.8359375,963629
2016-02-22,18452.11328125,19858.52734375,19907.681640625,19661.908203125,19711.0625,1328640
2016-02-23,18726.15234375,20153.455078125,20448.384765625,20005.990234375,20005.990234375,2300204
2016-02-24,19319.91015625,20792.466796875,21136.55078125,20005.990234375,20153.455078125,3364475
2016-02-25,19091.541015625,20546.693359375,21136.55078125,20448.384765625,20890.77734375,2514954
2016-02-26,19182.888671875,20645.00390625,20645.00390625,20300.919921875,20645.00390625,1003280
2016-02-29,18726.15234375,20153.455078125,20645.00390625,20153.455078125,20546.693359375,1804565
