ticker,excess_kurtosis
TCB,100.61270140062919
HDB,19.08081192137378
TPB,13.16170387487012
SSB,6.688983676969835
VJC,5.775244739149731
ACB,4.386621088191457
VIB,4.292358936413863
VIC,4.253733820819866
VNM,4.2165001732017195
SAB,3.8992901011096377
VCB,3.8253000567748003
BID,3.762487228608241
FPT,3.4647033828620994
MBB,3.400965596332889
GAS,3.3286430975189534
SHB,3.2962901287336797
PLX,3.2457191074262077
VPB,3.1047681193614194
LPB,3.0172779421754843
SSI,3.01453608108129
BSR,2.809543730904312
VHM,2.7353672803523414
CTG,2.5413947604284326
MWG,2.4948090972940546
MSN,2.4771160153164544
HPG,2.386222419089398
VRE,2.2441612508437387
STB,1.6613723023395242
GVR,1.5892293231685306
VPL,0.329282271083323
