ticker,avg_turnover_20d
VIB,20908230250.0
SAB,23597181750.0
SSB,38467399728.14404
ACB,41621514753.75
PLX,49026984750.0
GAS,50056977195.78613
LPB,54003872375.0
GVR,56141510100.0
BSR,64739340100.0
BID,67712101330.8834
HDB,72793256219.50638
SHB,72907178675.0
VJC,74743260585.0582
VPL,74831171000.0
MSN,87102838072.09453
VIC,94290856000.0
VCB,95234473751.6036
MWG,99304174657.90762
FPT,101165557830.83673
TPB,102669865173.15991
VRE,102757220000.0
CTG,133519166751.66118
VNM,156610109750.0
MBB,162534839044.04575
TCB,188813978250.0
VHM,193994874454.3911
STB,242072523675.0
SSI,248170554063.74518
VPB,252540242499.99982
HPG,405356197621.12695
